Surfing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,X,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,X,,Magikarp,,X,,Magikarp,,Magikarp,,X,,Magikarp,,Magikarp,,X,,Grimer,,X,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Magikarp,,Lumineon
Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Poliwag,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Poliwag,,Good Rod,,Good Rod,,Good Rod,,Good Rod,,Woobat
Staryu,,Staryu,,Corphish,,Corphish,,Goldeen,,Goldeen,,X,,Wishiwashi,,Wishiwashi,,Barboach,,Carvanha,,Clauncher,,Small Island,,Horsea,,Remoraid,,Remoraid,,Remoraid,,Staryu,,Remoraid,,Wishiwashi,,Barboach,,Poliwag,,Staryu,,Remoraid,,Horsea,,Remoraid,,Remoraid,,Good Rod,,Seel,,Seel,,Psyduck,,X,,Psyduck,,X,,Seel,,Wishiwashi,,X,,Chinchou,,Horsea,,X,,Grimer,,X,,Psyduck,,Horsea,,Good Rod,,Psyduck,,Gyarados,,Psyduck,,Gyarados,,Marill
Shellder,,Krabby,,Staryu,,Staryu,,Remoraid,,Remoraid,,Super Rod,,Goldeen,,Super Rod,,Remoraid,,Wailmer,,Skrelp,,Horsea,,Shellder,,Corsola,,Corsola,,Corsola,,Shellder,,Carvanha,,Goldeen,,Luvdisc,,Psyduck,,Poliwag,,Corsola,,Shellder,,Horsea,,Corsola,,Barboach,,Shellder,,Shellder,,Barboach,,Super Rod,,Finneon,,Super Rod,,Shellder,,Goldeen,,Super Rod,,Super Rod,,Shellder,,Super Rod,,Super Rod,,Super Rod,,Barboach,,Shellder,,Barboach,,Finneon,,Wailmer,,Barboach,,Wailmer,,Azumarill
Super Rod,,Shellder,,Super Rod,,Super Rod,,Super Rod,,Super Rod,,X,,Super Rod,,Wishiwashi,,Luvdisc,,Super Rod,,Super Rod,,Shellder,,Super Rod,,Horsea,,Horsea,,Horsea,,Super Rod,,Luvdisc,,Super Rod,,Super Rod,,Super Rod,,Super Rod,,Horsea,,Super Rod,,Super Rod,,Horsea,,Poliwhirl,,Super Rod,,Super Rod,,Super Rod,,X,,Super Rod,,X,,Super Rod,,Super Rod,,X,,Lanturn,,Super Rod,,X,,Muk,,X,,Super Rod,,Super Rod,,Poliwhirl,,Super Rod,,Super Rod,,Super Rod,,Super Rod,,Maze Area
Staryu,,Super Rod,,Staryu,,Staryu,,Seaking,,Seaking,,Rock Smash,,Wishiwashi,,Bruxish,,Super Rod,,Sharpedo,,Clawitzer,,Wailmer,,Seadra,,Super Rod,,Super Rod,,Super Rod,,Staryu,,Super Rod,,Wishiwashi,,Whiscash,,Poliwhirl,,Staryu,,Super Rod,,Seadra,,Octillery,,Super Rod,,Super Rod,,Dewgong,,Dewgong,,Golduck,,Rock Smash,,Golduck,,Rock Smash,,Dewgong,,Wishiwashi,,Rock Smash,,Rock Smash,,Seadra,,Rock Smash,,,,Rock Smash,,Golduck,,Seadra,,Super Rod,,Golduck,,Gyarados,,Golduck,,Gyarados,,Floatzel
Shellder,,Staryu,,Crawdaunt,,Crawdaunt,,Octillery,,Octillery,,,,Seaking,,,,Whiscash,,Wailord,,Dragalge,,West,,Shellder,,Octillery,,Octillery,,Octillery,,Shellder,,Luvdisc,,Seaking,,Luvdisc,,Golduck,,Poliwhirl,,Octillery,,Shellder,,Seadra,,Octillery,,Poliwhirl,,Shellder,,Shellder,,Whiscash,,,,Lumineon,,,,Shellder,,Seaking,,,,,,Shellder,,,,,,,,Whiscash,,Shellder,,Poliwhirl,,Lumineon,,Wailord,,Whiscash,,Wailord,,Basculin
Gyarados,,Shellder,,Gyarados,,Gyarados,,Gyarados,,Gyarados,,Roggenrola,,Gyarados,,,,Octillery,,Gyarados,,Rock Smash,,Shellder,,Gyarados,,Seadra,,Seadra,,Seadra,,Gyarados,,Octillery,,Gyarados,,Rock Smash,,,,Starmie,,Seadra,,Gyarados,,Gyarados,,Seadra,,Whiscash,,Cloyster,,Cloyster,,,,Geodude,,Gyarados,,Geodude,,Cloyster,,Gyarados,,Geodude,,Inside,,Gyarados ,,Binacle,,,,Graveler,,,,Gyarados,,Whiscash,,Qwilfish,,Qwilfish,,,,Ditto,,Kyurem's Cave
Starmie,,Kingler,,Starmie,,Starmie,,,,,,,,Bruxish,,,,Luvdisc,,,,,,Horsea,,Cloyster,,Corsola,,Corsola,,Corsola,,Starmie,,Sharpedo,,Bruxish,,,,,,,,Corsola,,Cloyster,,,,Corsola,,Politoed,,,,Rock Smash,,,,Graveler,,Rock Smash,,Nosepass,,,,Bruxish,,Graveler,,Alolan Geodude,,Kingdra,,Dwebble,,,,Shuckle,,,,Dhelmise,,Politoed,,Rock Smash,,,,,,,,Dewgong
Rock Smash,,Cloyster,,,,,,,,,,,,,,,,,,,,Binacle,,Luvdisc,,,,Underwater,,Lapras,,Gyarados,,,,,,,,Geodude,,,,,,Kingdra,,,,,,Lapras,,,,,,,,,,Shuckle,,,,,,,,,,,,Alolan Graveler,,Underwater,,Geodude,,,,,,,,,,,,,,,,,,,,Sealeo
,,,,,,,,,,,,,,,,,,,,,,Geodude,,East,,,,,,Underwater,,Kingdra,,,,,,,,Graveler,,,,,,,,,,,,,,,,,,Roggenrola,,,,Slugma,,Geodude,,,,,,,,,,Nosepass,,,,Armor Fossil,,,,,,,,,,,,Graveler,,,,,,,,Lapras
Roggenrola,,,,,,,,,,,,,,,,,,,,,,Corsola,,Horsea,,,,Clamperl,,,,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,Bergmite,,,,Magcargo,,Nosepass,,,,,,,,,,Shuckle,,Clamperl,,Claw Fossil,,,,,,,,,,,,Onix,,,,,,,,Fishing
Krabby,,,,,,,,,,,,,,,,,,,,,,Krabby,,Shellder,,,,Remoraid,,Clamperl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boldore,,,,,,,,,,,,,,,,Outside,,Mareanie,,Cover Fossil,,,,,,,,,,,,,,,,,,,,
Binacle,,,,,,,,,,,,,,,,,,,,,,Kingler,,Carvanha,,,,Octillery,,Carvanha,,Binacle,,,,,,,,,,,,,,,,,,,,,,,,,,Avalugg,,,,,,,,,,,,,,,,Binacle,,Toxapex,,Dome Fossil,,,,,,,,,,,,,,,,,,,,Old Rod
,,,,,,,,,,,,,,,,,,,,,,,,Super Rod,,,,Chinchou,,Sharpedo,,Geodude,,,,,,,,,,,,,,,,,,,,,,,,,,Shuckle,,,,,,,,,,,,,,,,Alolan Geodude,,Chinchou,,Helix Fossil,,,,,,,,,,,,,,,,,,,,Magikarp
,,,,,,,,,,,,,,,,,,,,,,,,Small Island,,,,Lanturn,,Chinchou,,Corsola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corsola,,Lanturn,,Jaw Fossil,,,,,,,,,,,,,,,,,,,,Good Rod
,,,,,,,,,,,,,,,,,,,,,,,,Seadra,,,,Corsola,,Lanturn,,Krabby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krabby,,Luvdisc,,Plume Fossil,,,,,,,,,,,,,,,,,,,,1F - B1F - 2F
,,,,,,,,,,,,,,,,,,,,,,,,Shellder,,,,Special Encounter,,Corsola,,Kingler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kingler,,Relicanth,,Root Fossil,,,,,,,,,,,,,,,,,,,,Finneon
,,,,,,,,,,,,,,,,,,,,,,,,Wailord,,,,Cursola,,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Smash,,Sail Fossil,,,,,,,,,,,,,,,,,,,,Psyduck
,,,,,,,,,,,,,,,,,,,,,,,,West,,,,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skull Fossil,,,,,,,,,,,,,,,,,,,,Maze Area
,,,,,,,,,,,,,,,,,,,,,,,,Shellder,,,,,,Binacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geodude,,Old Amber,,,,,,,,,,,,,,,,,,,,Luvdisc
,,,,,,,,,,,,,,,,,,,,,,,,Luvdisc,,,,Binacle,,Geodude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltoy,,,,,,,,,,,,,,,,,,,,,,Kyurem's Cave
,,,,,,,,,,,,,,,,,,,,,,,,Seadra,,,,Geodude,,Corsola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seel
,,,,,,,,,,,,,,,,,,,,,,,,East,,,,Corsola,,Krabby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shellder
,,,,,,,,,,,,,,,,,,,,,,,,Seadra,,,,Krabby,,Kingler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Rod
,,,,,,,,,,,,,,,,,,,,,,,,Cloyster,,,,Kingler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1F - B1F - 2F
,,,,,,,,,,,,,,,,,,,,,,,,Sharpedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lumineon
,,,,,,,,,,,,,,,,,,,,,,,,Underwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golduck
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyarados
,,,,,,,,,,,,,,,,,,,,,,,,Clamperl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maze Area
,,,,,,,,,,,,,,,,,,,,,,,,Mareanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luvdisc
,,,,,,,,,,,,,,,,,,,,,,,,Toxapex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruxish
,,,,,,,,,,,,,,,,,,,,,,,,Chinchou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyurem's Cave
,,,,,,,,,,,,,,,,,,,,,,,,Lanturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dewgong
,,,,,,,,,,,,,,,,,,,,,,,,Luvdisc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shellder
,,,,,,,,,,,,,,,,,,,,,,,,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Binacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Geodude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Corsola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Krabby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Kingler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
