Route 1,,Route 2,,Route 3,,Route 4,,Route 5,,Route 6,,Route 7,,Route 8,,Route 9 + Autl Woods,,Route 10,,Route 11,,Route 12,,Route 14,,Route 16,,Route 17,,Route 18,,Ice Hole,,Icicle Cave,,Flower Paradise,,Grim Woods,,Cinder Volcano,,Valley Cave,,KBT Expressway,,Frost Mountain,,Auburn Waterway,,Frozen Forest,,Lost Tunnel,,Thundercap Mt.,,Cliff Cave,,Ruins of Void,,Rift Cave,,Great Desert,,Antisis Sewers,,Tomb of Borrius,,Vivill Woods,,Cootes Bog,,Safari Zone,,Crystal Peak,,Magnolia Fields,,Redwood Forest,,Victory Road
,,Riolu,,Sentret,,Special Encounter,,Purrloin,,Swarm,,Luxio,,Galarian Mr. Mime,,Toxel,,Special Encounter,,Milcery,,Noctowl,,Special Encounter,,,,Illumise,,Stonjourner,,Regidrago,,Roggenrola,,Pansage,,,,Woobat,,Noibat,,"Dehara, Gurun, Antisis, ",,,,,,,,,,Nosepass,,,,Cofagrigus,,Golbat,,,,,,Unown H,,Silcoon,,Special Encounter,,Treecko,,Woobat,,Dubwool,,Pineco,,Magcargo
,,Swarm,,Special Encounter,,Sizzlipede,,Swarm,,Smeargle,,Gumshoos,,Mr. Rime,,,,Galarian Linoone,,,,Dedenne,,Eldegoss,,,,Special Encounter,,,,,,Makuhita,,Combee,,,,Slugma,,Gligar,,Seaport Entrances,,,,,,,,,,Magnemite,,,,B1F - B2F,,Haunter,,,,,,Unown I,,Cascoon,,Galarian Stunfisk,,Torchic,,Onix,,,,Scyther,,Salazzle
,,Poochyena,,Skwovet,,,,Elgyem,,Special Encounter,,Alolan Raticate,,,,,,Obstagoon,,,,Swarm,,,,,,Galarian Farfetch'd,,,,,,Drilbur,,Blue Flowers,,,,Salandit,,Swarm,,Golbat,,,,,,,,,,Timburr,,,,Claydol,,Dusclops,,,,,,Unown J,,Swarm,,,,Mudkip,,Noivern,,,,Pinsir,,Camerupt
,,Special Encounter,,Chewtle,,,,Special Encounter,,Morpeko,,Swarm,,,,,,,,,,Spritzee,,,,,,Sirfetch'd,,,,,,Mawile,,Flabébé,,,,Camerupt,,Dunsparce,,Woobat,,,,,,,,,,Klink,,,,Cofagrigus,,Golurk,,,,,,Sigilyph,,Pikachu,,,,Medium,,Zweilous,,,,Heracross,,Graveler
,,Clobbopus,,,,,,Yamper,,,,Mr. Mime,,,,,,,,,,Swirlix,,,,,,,,,,,,4F (Outside),,Cutiefly,,,,Graveler,,Special Encounter,,Hariyama,,,,,,,,,,Elekid,,,,Dusclops,,Bronzong,,,,,,B3F,,Special Encounter,,,,Steenee,,Steelix,,,,Swarm,,Excadrill
Orange Color: Daytime Encounter: 5:00 AM - 7:59 PM,,,,,,,,Nickit,,,,Special Encounter,,,,,,,,,,Special Encounter,,,,,,,,,,,,Alolan Sandshrew,,Panpour,,,,Excadrill,,Galarian Meowth,,Lairon,,,,,,,,,,Tynamo,,,,Sableye,,Chimecho,,,,,,Unown K,,Hattrem,,,,Zebstrika,,Skarmory,,,,Nincada,,Heatmor
,,,,,,,,,,,,Indeedee♂️,,,,,,,,,,Galarian Ponyta,,,,,,,,,,,,1F + B1F,,Combee,,,,Heatmor,,Perrserker,,Nosepass,,,,,,,,,,Magneton,,,,Bronzong,,Special Encounter,,,,,,Unown L,,Morgrem,,,,Xatu,,Outside ,,,,Special Encounter,,Magmar
Purple Color: Nighttime Encounter: 8:00 PM - 4:59 AM,,,,,,,,,,,,Indeedee♀️,,,,,,,,,,Applin,,,,,,,,,,,,Golbat,,Red Flowers,,,,Magmar,,,,Graveler,,,,,,,,,,Electabuzz,,,,Lunatone,,Sinistea,,,,,,Unown M,,,,,,Alolan Diglett,,Drifblim,,,,Raboot,,2F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hariyama,,Flabébé,,,,Swarm,,,,Noibat,,,,,,,,,,2F (Small Floor),,,,Solrock,,,,,,,,Unown N,,,,,,Spinda,,Rufflet,,,,Thwackey,,Druddigon
Special Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sealeo,,Cutiefly,,,,Vulpix,,,,,,,,,,,,,,Nosepass,,,,Sigilyph,,,,,,,,Unown O,,,,,,Wobbuffet,,Vullaby,,,,,,Turtonator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jynx,,Oricorio,,,,Special Encounter,,,,,,,,,,,,,,Magneton,,,,Special Encounter,,,,,,,,Sigilyph,,,,,,Tauros,,Absol,,,,,,Drampa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avalugg,,Comfey,,,,Rolycoly,,,,,,,,,,,,,,Gurdurr,,,,Galarian Yamask,,,,,,,,B2F,,,,,,Rhyhorn,,Special Encounter,,,,,,Special Encounter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boldore,,Pansear,,,,Carkol,,,,,,,,,,,,,,Klink,,,,Runerigus,,,,,,,,Unown P,,,,,,Helioptile,,Duraludon,,,,,,Drakloak
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piloswine,,Combee,,,,,,,,,,,,,,,,,,Electabuzz,,,,,,,,,,,,Unown Q,,,,,,Kangaskhan,,Dracozolt,,,,,,Maze Area
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue-Yellow Flowers,,,,,,,,,,,,,,,,,,Tynamo,,,,,,,,,,,,Unown R,,,,,,Treecko,,Arctozolt,,,,,,Heatmor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flabébé,,,,,,,,,,,,,,,,,,Klang,,,,,,,,,,,,Unown S,,,,,,Torchic,,,,,,,,Roselia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutiefly,,,,,,,,,,,,,,,,,,3F,,,,,,,,,,,,Unown T,,,,,,Mudkip,,,,,,,,Chansey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oricorio,,,,,,,,,,,,,,,,,,Nosepass,,,,,,,,,,,,Sigilyph,,,,,,Hard,,,,,,,,Lurantis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combee,,,,,,,,,,,,,,,,,,Magneton,,,,,,,,,,,,B1F,,,,,,Rhydon,,,,,,,,Jigglypuff
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink-Purple Flowers,,,,,,,,,,,,,,,,,,Marowak,,,,,,,,,,,,Unown U,,,,,,Wobbuffet,,,,,,,,Special Encounter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flabébé,,,,,,,,,,,,,,,,,,Klank,,,,,,,,,,,,Unown V,,,,,,Kangaskhan,,,,,,,,Corvisquire
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutiefly,,,,,,,,,,,,,,,,,,Electabuzz,,,,,,,,,,,,Unown W,,,,,,Zebstrika,,,,,,,,3F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oricorio,,,,,,,,,,,,,,,,,,Eelektrik,,,,,,,,,,,,Unown X,,,,,,Spinda,,,,,,,,Woobat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfey,,,,,,,,,,,,,,,,,,Swarm,,,,,,,,,,,,Unown Y,,,,,,Tauros,,,,,,,,Durant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combee,,,,,,,,,,,,,,,,,,Joltik,,,,,,,,,,,,Sigilyph,,,,,,Helioptile,,,,,,,,Turtonator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferroseed,,,,,,,,,,,,1F (Main Room),,,,,,Alolan Exeggcute,,,,,,,,Drampa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Encounter,,,,,,,,,,,,Unown Z,,,,,,Alolan Diglett,,,,,,,,Hakamo-o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pincurchin,,,,,,,,,,,,Unown !,,,,,,Golisopod,,,,,,,,Snowy Area
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unown ?,,,,,,Grovyle,,,,,,,,Abomasnow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combusken,,,,,,,,Glalie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshtomp,,,,,,,,Vanillish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insane,,,,,,,,Beartic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhydon,,,,,,,,Minior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tauros,,,,,,,,Special Encounter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doublade,,,,,,,,Galarian Darmanitan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kangaskhan,,,,,,,,4F + Kyurem's Cave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wobbuffet,,,,,,,,Golbat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alolan Exeggcute,,,,,,,,Hariyama
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golisopod,,,,,,,,Sealeo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heliolisk,,,,,,,,Jynx
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alolan Dugtrio,,,,,,,,Avalugg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grovyle,,,,,,,,Glalie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combusken,,,,,,,,Piloswine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshtomp,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokémon Unbound Location Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Current Game Version:,,,2.1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Credits to: ,,- skeli789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,- sevenk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Unbound's Discord server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other useful Guides: ,,,,- Raid Drops & Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,- Misson List +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,- Battle Frontier Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,- Trainers Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,- General Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
